german_text,caption_text,lat,lon,ranking,default location,default_lat,default_lon,.1,.2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
aplerbeck,"Aplerbeck in Dortmund, Germany",51.4929367,7.5559846,2,"Dortmund, Germany",51.51277807,7.462364469,,ss,space,"Aplerbeck in Dortmund, Germany",,german_fires_dortmund_locations,6c434d52207e215eba6800f80d423a7d,german_fires_dortmund_locations__6c434d52207e215eba6800f80d423a7d
aplerbecker mark,"Aplerbecker Mark in Dortmund, Germany",51.4745483,7.5543663,2,,,,,u,Keyphrase,"Aplerbecker Mark in Dortmund, Germany",,german_fires_dortmund_locations,b4e5f2dab090958fa829a226df51d8ee,german_fires_dortmund_locations__b4e5f2dab090958fa829a226df51d8ee
asseln,"Asseln in Dortmund, Germany",51.526421,7.579778,2,,,,,a,AAEntity,"Asseln in Dortmund, Germany",,german_fires_dortmund_locations,6e505cb9760708d609284b5cb7bcfaeb,german_fires_dortmund_locations__6e505cb9760708d609284b5cb7bcfaeb
barop,"Barop in Dortmund, Germany",51.4902974,7.4114713,2,,,,,o,space,"Barop in Dortmund, Germany",,german_fires_dortmund_locations,9e621239e1ea17c87247d60cfea536f3,german_fires_dortmund_locations__9e621239e1ea17c87247d60cfea536f3
benninghofen,"Benninghofen in Dortmund, Germany",51.4763572,7.5057792,2,,,,,,Diplomat,"Benninghofen in Dortmund, Germany",,german_fires_dortmund_locations,12b63634867bb57058990afd6f1a13cd,german_fires_dortmund_locations__12b63634867bb57058990afd6f1a13cd
benninghofen-loh,"Benninghofen-Loh in Dortmund, Germany",51.470524,7.5143508,2,,,,,,CompanyKeyword,"Benninghofen-Loh in Dortmund, Germany",,german_fires_dortmund_locations,8cacfe12224e1554a51951278d80656c,german_fires_dortmund_locations__8cacfe12224e1554a51951278d80656c
berghofen,"Berghofen in Dortmund, Germany",51.479679,7.52152,2,,,,,,FTO,"Berghofen in Dortmund, Germany",,german_fires_dortmund_locations,7b19b5ba12534d607d3dcc4d6bec9a82,german_fires_dortmund_locations__7b19b5ba12534d607d3dcc4d6bec9a82
bittermark,"Bittermark in Dortmund, Germany",51.4481014,7.4728011,2,,,,,,Shipping,"Bittermark in Dortmund, Germany",,german_fires_dortmund_locations,b11aa835eef93a866223f2a4188c2511,german_fires_dortmund_locations__b11aa835eef93a866223f2a4188c2511
bodelschwingh,"Bodelschwingh in Dortmund, Germany",51.5500604,7.3648356,2,,,,,,Consulates,"Bodelschwingh in Dortmund, Germany",,german_fires_dortmund_locations,229c87b75bb7184782e3ea4686d45a2d,german_fires_dortmund_locations__229c87b75bb7184782e3ea4686d45a2d
bovinghausen,"Bovinghausen in Dortmund, Germany",51.5157494,7.3219629,2,,,,,,Legislator,"Bovinghausen in Dortmund, Germany",,german_fires_dortmund_locations,2222d12ae55b6ea068196b08c740c29e,german_fires_dortmund_locations__2222d12ae55b6ea068196b08c740c29e
brackel,"Brackel in Dortmund, Germany",51.5288663,7.5725601,2,,,,,,ForeignMinistry,"Brackel in Dortmund, Germany",,german_fires_dortmund_locations,d96db1636a982dcedd73c298d16b2754,german_fires_dortmund_locations__d96db1636a982dcedd73c298d16b2754
brechten,"Brechten in Dortmund, Germany",51.5761796,7.4627097,2,,,,,,DiplomaticFacilities,"Brechten in Dortmund, Germany",,german_fires_dortmund_locations,aa2ba01ad078fcdee96baf225b0bc193,german_fires_dortmund_locations__aa2ba01ad078fcdee96baf225b0bc193
brunninghausen,"Brunninghausen in Dortmund, Germany",51.4809524,7.4545969,2,,,,,,ForeignMinister,"Brunninghausen in Dortmund, Germany",,german_fires_dortmund_locations,446c27443afc54e937e9cd9b27487b79,german_fires_dortmund_locations__446c27443afc54e937e9cd9b27487b79
buchholz,"Buchholz in Dortmund, Germany",51.4351668,7.5098559,2,,,,,,Organization,"Buchholz in Dortmund, Germany",,german_fires_dortmund_locations,b8b69425c3f25e69faff69dc16d8ee3f,german_fires_dortmund_locations__b8b69425c3f25e69faff69dc16d8ee3f
derne,"Derne in Dortmund, Germany",51.5714825,7.5212138,2,,,,,,Diplomat,"Derne in Dortmund, Germany",,german_fires_dortmund_locations,e961aa67980930e8095ca295dc77efff,german_fires_dortmund_locations__e961aa67980930e8095ca295dc77efff
deusen,"Deusen in Dortmund, Germany",51.5462741,7.424742,2,,,,,,IndustryTerm,"Deusen in Dortmund, Germany",,german_fires_dortmund_locations,a0568e65e3d0ae5308386e4e69bc0137,german_fires_dortmund_locations__a0568e65e3d0ae5308386e4e69bc0137
dorstfeld,"Dorstfeld in Dortmund, Germany",51.5042695,7.4202741,2,,,,,,Diplomat,"Dorstfeld in Dortmund, Germany",,german_fires_dortmund_locations,0fabb6c29ebc5766b0b39d2dcbcc171f,german_fires_dortmund_locations__0fabb6c29ebc5766b0b39d2dcbcc171f
