keyword,Entity,City,State (US),Country,Caption Text,DE Assignment,Complete,QA Check,Notes,Dupe,Entity Caption,Character Count,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
kimberlyromine,US Federal Agency Leadership,Washington,District of Columbia,USA,Administration for Native Americans Former Deputy Commissioner Kimberly Romine,Anthony,TRUE,FALSE,,1,n/a,78,IndustryTerm,Administration for Native Americans Former Deputy Commissioner Kimberly Romine,,public_sector_keyword_mapping,c250ec23882f11dcf29395a84dc5adbc,public_sector_keyword_mapping__c250ec23882f11dcf29395a84dc5adbc
kimberly romine,US Federal Agency Leadership,Washington,District of Columbia,USA,Administration for Native Americans Former Deputy Commissioner Kimberly Romine,Anthony,TRUE,FALSE,,1,n/a,78,Exec,Administration for Native Americans Former Deputy Commissioner Kimberly Romine,,public_sector_keyword_mapping,c250ec23882f11dcf29395a84dc5adbc,public_sector_keyword_mapping__c250ec23882f11dcf29395a84dc5adbc
edmiliband,UK Politicians,London,,England,UK Shadow Secretary of State for Energy and Climate Change Edward Miliband,Harshita,TRUE,FALSE,,1,n/a,74,Keyphrase,UK Shadow Secretary of State for Energy and Climate Change Edward Miliband,,public_sector_keyword_mapping,798968bfc18704700b36b4d9a6f26781,public_sector_keyword_mapping__798968bfc18704700b36b4d9a6f26781
ed miliband,UK Politicians,London,,England,UK Shadow Secretary of State for Energy and Climate Change Edward Miliband,Harshita,TRUE,FALSE,,1,n/a,74,Media,UK Shadow Secretary of State for Energy and Climate Change Edward Miliband,,public_sector_keyword_mapping,798968bfc18704700b36b4d9a6f26781,public_sector_keyword_mapping__798968bfc18704700b36b4d9a6f26781
jamesowens,US Federal Agency Leadership,Washington,District of Columbia,USA,National Highway Traffic Safety Administration Administrator James Owens,Anthony,TRUE,FALSE,,1,n/a,72,Wells,National Highway Traffic Safety Administration Administrator James Owens,,public_sector_keyword_mapping,f2049250d0ef79426e31fe8ffe9ed09a,public_sector_keyword_mapping__f2049250d0ef79426e31fe8ffe9ed09a
james owens,US Federal Agency Leadership,Washington,District of Columbia,USA,National Highway Traffic Safety Administration Administrator James Owens,Anthony,TRUE,FALSE,,1,n/a,72,ForeignMinister,National Highway Traffic Safety Administration Administrator James Owens,,public_sector_keyword_mapping,f2049250d0ef79426e31fe8ffe9ed09a,public_sector_keyword_mapping__f2049250d0ef79426e31fe8ffe9ed09a
gregorykausner,US Federal Agency Leadership,Washington,District of Columbia,USA,Defense Acquisition and Sustainment Executive Director Gregory Kausner,Anthony,TRUE,FALSE,,1,n/a,70,Shipping,Defense Acquisition and Sustainment Executive Director Gregory Kausner,,public_sector_keyword_mapping,73b830ebd5190314362ed94765390372,public_sector_keyword_mapping__73b830ebd5190314362ed94765390372
directorkausner,US Federal Agency Leadership,Washington,District of Columbia,USA,Defense Acquisition and Sustainment Executive Director Gregory Kausner,Anthony,TRUE,FALSE,,1,n/a,70,Legislator,Defense Acquisition and Sustainment Executive Director Gregory Kausner,,public_sector_keyword_mapping,73b830ebd5190314362ed94765390372,public_sector_keyword_mapping__73b830ebd5190314362ed94765390372
gregory kausner,US Federal Agency Leadership,Washington,District of Columbia,USA,Defense Acquisition and Sustainment Executive Director Gregory Kausner,Anthony,TRUE,FALSE,,1,n/a,70,LegislativeCommittee,Defense Acquisition and Sustainment Executive Director Gregory Kausner,,public_sector_keyword_mapping,73b830ebd5190314362ed94765390372,public_sector_keyword_mapping__73b830ebd5190314362ed94765390372
director kausner,US Federal Agency Leadership,Washington,District of Columbia,USA,Defense Acquisition and Sustainment Executive Director Gregory Kausner,Anthony,TRUE,FALSE,,1,n/a,70,News,Defense Acquisition and Sustainment Executive Director Gregory Kausner,,public_sector_keyword_mapping,73b830ebd5190314362ed94765390372,public_sector_keyword_mapping__73b830ebd5190314362ed94765390372
