keyword,keyword_upper,caption_name,location,location_lower,type,topic_id,focus_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
nycdot,nycdot,New York City Department of Transportation,NYC,nyc,SLGAgency,188120,3140002,Slgagency,New York City Department of Transportation,,LN_Mentionee,b4a39975c63ae83a357075cd9e96a1fb,LN_Mentionee__b4a39975c63ae83a357075cd9e96a1fb
nyc_dot,NYC_DOT,New York City Department of Transportation,NYC,nyc,SLGAgency,188120,3140002,Slgagency,New York City Department of Transportation,,LN_Mentionee,b4a39975c63ae83a357075cd9e96a1fb,LN_Mentionee__b4a39975c63ae83a357075cd9e96a1fb
new york city department of transportation,New York City Department of Transportation,New York City Department of Transportation,NYC,nyc,SLGAgency,188120,3140002,Slgagency,New York City Department of Transportation,,LN_Mentionee,b4a39975c63ae83a357075cd9e96a1fb,LN_Mentionee__b4a39975c63ae83a357075cd9e96a1fb
nycschools,NYCSchools,New York City Department of Education,NYC,nyc,SLGAgency,188114,3140002,Slgagency,New York City Department of Education,,LN_Mentionee,2ae2b3f7daa86914eb1a23ef13c3a528,LN_Mentionee__2ae2b3f7daa86914eb1a23ef13c3a528
new york city department of education,New York City Department of Education,New York City Department of Education,NYC,nyc,SLGAgency,188114,3140002,Slgagency,New York City Department of Education,,LN_Mentionee,2ae2b3f7daa86914eb1a23ef13c3a528,LN_Mentionee__2ae2b3f7daa86914eb1a23ef13c3a528
dsny,dsny,New York City Department of Sanitation,NYC,nyc,SLGAgency,188120,3140002,Slgagency,New York City Department of Sanitation,,LN_Mentionee,8fff524f158204ca1d7b28144dedf097,LN_Mentionee__8fff524f158204ca1d7b28144dedf097
new york city department of sanitation,New York City Department of Sanitation,New York City Department of Sanitation,NYC,nyc,SLGAgency,188120,3140002,Slgagency,New York City Department of Sanitation,,LN_Mentionee,8fff524f158204ca1d7b28144dedf097,LN_Mentionee__8fff524f158204ca1d7b28144dedf097
new york city department of homeless services,New York City Department of Homeless Services,New York City Department of Homeless Services,NYC,nyc,SLGAgency,188289,3140002,Slgagency,New York City Department of Homeless Services,,LN_Mentionee,912987c5cfeb898c8387088a038ee8ab,LN_Mentionee__912987c5cfeb898c8387088a038ee8ab
new york city housing authority,New York City Housing Authority,New York City Housing Authority,NYC,nyc,SLGAgency,188289,3140002,Slgagency,New York City Housing Authority,,LN_Mentionee,c998e0507fea807d5a7d194e4eae1a7f,LN_Mentionee__c998e0507fea807d5a7d194e4eae1a7f
nycha,NYCHA,New York City Housing Authority,NYC,nyc,SLGAgency,188289,3140002,Slgagency,New York City Housing Authority,,LN_Mentionee,c998e0507fea807d5a7d194e4eae1a7f,LN_Mentionee__c998e0507fea807d5a7d194e4eae1a7f
new york city department of environmental protection,New York City Department of Environmental Protection,New York City Department of Environmental Protection,NYC,nyc,SLGAgency,188133,3140002,Slgagency,New York City Department of Environmental Protection,,LN_Mentionee,28982d9bf37ff0063f731a01eb74a75f,LN_Mentionee__28982d9bf37ff0063f731a01eb74a75f
nycdep,nycdep,New York City Department of Environmental Protection,NYC,nyc,SLGAgency,188133,3140002,Slgagency,New York City Department of Environmental Protection,,LN_Mentionee,28982d9bf37ff0063f731a01eb74a75f,LN_Mentionee__28982d9bf37ff0063f731a01eb74a75f
new york city water board,New York City Water Board,New York City Water Board,NYC,nyc,SLGAgency,188242,3140002,Slgagency,New York City Water Board,,LN_Mentionee,a7641565934e8ddf6b5fbcfeed0ffeef,LN_Mentionee__a7641565934e8ddf6b5fbcfeed0ffeef
nychealthy,nycHealthy,New York City Department of Health and Mental Hygiene,NYC,nyc,SLGAgency,188124,3140002,Slgagency,New York City Department of Health and Mental Hygiene,,LN_Mentionee,84f4bc296fbdf93ec5b47d9608e2f478,LN_Mentionee__84f4bc296fbdf93ec5b47d9608e2f478
new york city department of health and mental hygiene,New York City Department of Health and Mental Hygiene,New York City Department of Health and Mental Hygiene,NYC,nyc,SLGAgency,188124,3140002,Slgagency,New York City Department of Health and Mental Hygiene,,LN_Mentionee,84f4bc296fbdf93ec5b47d9608e2f478,LN_Mentionee__84f4bc296fbdf93ec5b47d9608e2f478
nycparks,NYCParks,New York City Department of Parks and Recreation,NYC,nyc,SLGAgency,188120,3140002,Slgagency,New York City Department of Parks and Recreation,,LN_Mentionee,48a8786458ef200632e93ea49650f097,LN_Mentionee__48a8786458ef200632e93ea49650f097
new york city department of parks and recreation,New York City Department of Parks and Recreation,New York City Department of Parks and Recreation,NYC,nyc,SLGAgency,188120,3140002,Slgagency,New York City Department of Parks and Recreation,,LN_Mentionee,48a8786458ef200632e93ea49650f097,LN_Mentionee__48a8786458ef200632e93ea49650f097
los angeles department of parks and recreation,Los Angeles Department of Parks and Recreation,Los Angeles Department of Parks and Recreation,Los Angeles,los angeles,SLGAgency,188120,3140002,Slgagency,Los Angeles Department of Parks and Recreation,,LN_Mentionee,a4058c2d653c42ddc97b89ef635c2260,LN_Mentionee__a4058c2d653c42ddc97b89ef635c2260
los angeles county department of public health,Los Angeles County Department of Public Health,Los Angeles County Department of Public Health,Los Angeles,los angeles,SLGAgency,188124,3140002,Slgagency,Los Angeles County Department of Public Health,,LN_Mentionee,188d19def6269e8125d270918c7196de,LN_Mentionee__188d19def6269e8125d270918c7196de
lapublichealth,lapublichealth,Los Angeles County Department of Public Health,Los Angeles,los angeles,SLGAgency,188124,3140002,Slgagency,Los Angeles County Department of Public Health,,LN_Mentionee,188d19def6269e8125d270918c7196de,LN_Mentionee__188d19def6269e8125d270918c7196de
los angeles department of transportation,Los Angeles Department of Transportation,Los Angeles Department of Transportation,Los Angeles,los angeles,SLGAgency,188120,3140002,Slgagency,Los Angeles Department of Transportation,,LN_Mentionee,0eb5576aa3694823ac33c20502a72853,LN_Mentionee__0eb5576aa3694823ac33c20502a72853
